2021-06-03 12:19:09,Epoch : ,  1, Train Loss : ,0.38623667, Validation Loss : ,0.29260004, Accuracy : ,0.96142435, Precision : ,0.00043834, Recall : ,0.06030834, F1_score : ,0.00087036, TP : ,64.19658661, FP : ,44850.76171875, FN : ,724.85900879, TN : ,1046271.31250000
2021-06-03 12:19:51,Epoch : ,  2, Train Loss : ,0.25429087, Validation Loss : ,0.22924226, Accuracy : ,0.95744592, Precision : ,0.00143635, Recall : ,0.16811877, F1_score : ,0.00284836, TP : ,111.96582031, FP : ,50465.74609375, FN : ,677.08978271, TN : ,1046223.43750000
2021-06-03 12:20:34,Epoch : ,  3, Train Loss : ,0.21000643, Validation Loss : ,0.19053183, Accuracy : ,0.97299194, Precision : ,0.00284159, Recall : ,0.13966690, F1_score : ,0.00556985, TP : ,198.88676453, FP : ,31346.65234375, FN : ,590.16882324, TN : ,1046136.62500000
2021-06-03 12:21:17,Epoch : ,  4, Train Loss : ,0.17772583, Validation Loss : ,0.16091645, Accuracy : ,0.82155925, Precision : ,0.00340881, Recall : ,0.55945897, F1_score : ,0.00677633, TP : ,718.82055664, FP : ,230070.71875000, FN : ,70.23504639, TN : ,1045616.37500000
2021-06-03 12:22:00,Epoch : ,  5, Train Loss : ,0.15209911, Validation Loss : ,0.14030000, Accuracy : ,0.88372344, Precision : ,0.00281368, Recall : ,0.39096594, F1_score : ,0.00558715, TP : ,451.48934937, FP : ,145804.89062500, FN : ,337.56625366, TN : ,1045883.68750000
2021-06-03 12:22:43,Epoch : ,  6, Train Loss : ,0.13062796, Validation Loss : ,0.12075299, Accuracy : ,0.88080573, Precision : ,0.01789550, Recall : ,0.48205554, F1_score : ,0.03450987, TP : ,655.65386963, FP : ,150538.12500000, FN : ,133.40171814, TN : ,1045679.93750000
2021-06-03 12:23:25,Epoch : ,  7, Train Loss : ,0.11192005, Validation Loss : ,0.10347721, Accuracy : ,0.85504806, Precision : ,0.01524264, Recall : ,0.49752390, F1_score : ,0.02957906, TP : ,613.32696533, FP : ,185687.42187500, FN : ,175.72863770, TN : ,1045722.12500000
2021-06-03 12:24:09,Epoch : ,  8, Train Loss : ,0.09566091, Validation Loss : ,0.08954228, Accuracy : ,0.97537345, Precision : ,0.30370530, Recall : ,0.28291109, F1_score : ,0.29293966, TP : ,452.38677979, FP : ,29307.94726562, FN : ,336.66882324, TN : ,1045883.06250000
2021-06-03 12:24:52,Epoch : ,  9, Train Loss : ,0.08139651, Validation Loss : ,0.07737677, Accuracy : ,0.99072617, Precision : ,0.23298910, Recall : ,0.41788885, F1_score : ,0.29917604, TP : ,594.72222900, FP : ,11302.69726562, FN : ,194.33334351, TN : ,1045740.81250000
2021-06-03 12:25:35,Epoch : , 10, Train Loss : ,0.07064363, Validation Loss : ,0.06542445, Accuracy : ,0.94263911, Precision : ,0.19720297, Recall : ,0.50667840, F1_score : ,0.28390718, TP : ,745.71368408, FP : ,73397.57031250, FN : ,43.34188080, TN : ,1045589.50000000
2021-06-03 12:26:19,Epoch : , 11, Train Loss : ,0.06063824, Validation Loss : ,0.05581626, Accuracy : ,0.98252976, Precision : ,0.36968765, Recall : ,0.36884555, F1_score : ,0.36926612, TP : ,672.10473633, FP : ,19981.37109375, FN : ,116.95085907, TN : ,1045663.56250000
